ID_ATRATIVO_TURISTICO;DESCRICAO;CATEGORIA;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;NOME_BAIRRO_POPULAR;LINK_SITE_REDE_SOCIAL;REF_LOCALIZACAO;GEOMETRIA
45;Feira Tom Jobim;GASTRONOMIA E COMPRAS;AVENIDA;CARANDAI;600;;Santa Efigênia;"<a target=""_blank"" href=""https://www.facebook.com/pages/Feira-Tom-Jobim/556902631088947"">https://www.facebook.com/pages/Feira-Tom-Jobim/556902631088947</a>";;POINT (612205.9 7796119)
46;Cidade Administrativa de Minas Gerais - CAMG;CULTURAL;RODOVIA;PAPA JOAO PAULO II;4101;;Serra Verde;"<a target=""_blank"" href=""http://www.mg.gov.br"">http://www.mg.gov.br</a>";;POINT (609956.94 7812287)
47;Casa Fiat de Cultura;CULTURAL;PRACA;DA LIBERDADE;10;;Savassi;"<a target=""_blank"" href=""http://www.casafiatdecultura.com.br/"">http://www.casafiatdecultura.com.br/</a>";;POINT (610973 7795427)
48;Museu dos Brinquedos;CULTURAL;AVENIDA;AFONSO PENA;2564;;Savassi;"<a target=""_blank"" href=""http://www.museudosbrinquedos.org.br"">http://www.museudosbrinquedos.org.br</a>";;POINT (612017.9 7795451.5)
49;Biblioteca Pública Estadual de Minas Gerais;CULTURAL;PRACA;DA LIBERDADE;21;;Savassi;"<a target=""_blank"" href=""http://www.bibliotecapublica.mg.gov.br/index.php/pt-br/"">http://www.bibliotecapublica.mg.gov.br/index.php/pt-br/</a>";;POINT (611019 7795566)
50;Cefart Liberdade - Fundação Clóvis Salgado;CULTURAL;RUA;SERGIPE;884;;Savassi;"<a target=""_blank"" href=""http://fcs.mg.gov.br"">http://fcs.mg.gov.br</a>";;POINT (611208.6 7795455)
51;Centro Cultural Banco do Brasil - CCBB;CULTURAL;PRACA;DA LIBERDADE;450;;Savassi;"<a target=""_blank"" href=""https://www.bb.com.br/pbb/pagina-inicial/sobre-nos/cultura/ccbb#/"">https://www.bb.com.br/pbb/pagina-inicial/sobre-nos/cultura/ccbb#/</a>";;POINT (611221.44 7795679.5)
52;Edifício Niemeyer;CULTURAL;PRACA;DA LIBERDADE;153;;Savassi;n/a;;POINT (611203 7795613)
53;Espaço do Conhecimento UFMG;CULTURAL;PRACA;DA LIBERDADE;700;;Savassi;"<a target=""_blank"" href=""http://www.espacodoconhecimento.org.br/"">http://www.espacodoconhecimento.org.br/</a>";;POINT (611047.94 7795700.5)
54;Memorial Minas Gerais Vale;CULTURAL;PRACA;DA LIBERDADE;640;;Savassi;"<a target=""_blank"" href=""http://www.memorialvale.com.br"">http://www.memorialvale.com.br</a>";;POINT (611066 7795781)
55;MM Gerdau - Museu das Minas e do Metal;CULTURAL;PRACA;DA LIBERDADE;700;;Savassi;"<a target=""_blank"" href=""http://www.mmgerdau.org.br/"">http://www.mmgerdau.org.br/</a>";;POINT (611059.8 7795730.5)
56;Paróquia Nossa Senhora da Boa Viagem;CULTURAL;RUA;SERGIPE;175;;Boa Viagem;"<a target=""_blank"" href=""http://www.igrejaboaviagem.org.br"">http://www.igrejaboaviagem.org.br</a>";;POINT (611424.4 7796087.5)
57;Presépio do Pipiripau;CULTURAL;RUA;GUSTAVO DA SILVEIRA;1035;;Horto Florestal;"<a target=""_blank"" href=""https://www.ufmg.br/mhnjb/"">https://www.ufmg.br/mhnjb/</a>";;POINT (613746.25 7799960.5)
58;Museu de História Natural e Jardim Botânico da UFMG;CULTURAL;RUA;GUSTAVO DA SILVEIRA;1035;;Horto Florestal;"<a target=""_blank"" href=""http://www.ufmg.br/mhnjb"">http://www.ufmg.br/mhnjb</a>";;POINT (613746.25 7799960.5)
59;Iate Tênis Clube;CULTURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;1350;;Lagoa da Pampulha;"<a target=""_blank"" href=""http://www.iatebh.com.br/site/"">http://www.iatebh.com.br/site/</a>";;POINT (607208.56 7804291.5)
60;Igreja São Francisco de Assis;CULTURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;3000;;Lagoa da Pampulha;"<a target=""_blank"" href=""http://portalbelohorizonte.com.br/o-que-fazer/arte-e-cultura/conjunto-moderno-da-pampulha/igreja-sao-francisco-de-assis"">http://portalbelohorizonte.com.br/o-que-fazer/arte-e-cultura/conjunto-moderno-da-pampulha/igreja-sao-francisco-de-assis</a>";;POINT (606895.7 7803860)
61;Memorial Minas-Japão;CULTURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;6061;;Lagoa da Pampulha;n/a;;POINT (605353.06 7804471)
62;Feira da Afonso Pena (Feira Hippie);GASTRONOMIA E COMPRAS;;;;;;"<a target=""_blank"" href=""https://feirahippie.com/"">https://feirahippie.com/</a>";Parque Municipal;POINT (611444 7796519.5)
1;Mineiraria Casa da Gastronomia;GASTRONOMIA E COMPRAS;RUA;UBERABA;865;;Barro Preto;n/a;;POINT (609154 7796283.5)
2;Sala Minas Gerais;CULTURAL;RUA;TENENTE BRITO MELO;1090;;Barro Preto;"<a target=""_blank"" href=""https://filarmonica.art.br/"">https://filarmonica.art.br/</a>";;POINT (609230.2 7796226)
3;Cemitério do Bonfim;CULTURAL;RUA;BONFIM;1120;;Bonfim;"<a target=""_blank"" href=""https://prefeitura.pbh.gov.br/fundacao-de-parques-e-zoobotanica/cemiterios/cemiterio-do-bonfim"">https://prefeitura.pbh.gov.br/fundacao-de-parques-e-zoobotanica/cemiterios/cemiterio-do-bonfim</a>";;POINT (609758.6 7798238)
4;Museu de Ciências Morfológicas da UFMG;CULTURAL;AVENIDA;PRESIDENTE ANTONIO CARLOS;6627;;Campus UFMG;"<a target=""_blank"" href=""https://www.ufmg.br/rededemuseus/mcm/"">https://www.ufmg.br/rededemuseus/mcm/</a>";;POINT (609243 7802765)
5;Estação Ecológica da UFMG;REALIZAÇÕES TEC. CIENTÍFICAS;AVENIDA;PRESIDENTE ANTONIO CARLOS;6627;;Campus UFMG;"<a target=""_blank"" href=""https://www.ufmg.br/cultura/?option=com_content&view=article&id=124&Itemid=129"">https://www.ufmg.br/cultura/?option=com_content&view=article&id=124&Itemid=129</a>";;POINT (609243 7802765)
6;Aquário No Mundo das Águas;REALIZAÇÕES TEC. CIENTÍFICAS;RUA;MONTES CLAROS;322;;Carmo;"<a target=""_blank"" href=""http://www.nomundodasaguas.com.br"">http://www.nomundodasaguas.com.br</a>";;POINT (611715.06 7794344)
7;Feira do Mineirinho;GASTRONOMIA E COMPRAS;AVENIDA;ANTONIO ABRAHAO CARAM;1000;;São Luíz;"<a target=""_blank"" href=""https://www.facebook.com/feiradomineirinho/"">https://www.facebook.com/feiradomineirinho/</a>";;POINT (607515.7 7803349)
8;Museu Brasileiro do Futebol (MBF);CULTURAL;AVENIDA;ANTONIO ABRAHAO CARAM;1001;;São Luíz;"<a target=""_blank"" href=""http://estadiomineirao.com.br/"">http://estadiomineirao.com.br/</a>";;POINT (607698.9 7803137)
