DESCRICAO;CATEGORIA;TIPO_LOGRADOURO;LOGRADOURO;COMPLEMENTO;NOME_BAIRRO_POPULAR;REF_LOCALIZACAO
Mirante da Mata  Parque das Mangabeiras;ENTRETENIMENTO E LAZER;AVENIDA;JOSE DE PATROCINIO PONTES;     ;Mangabeiras;     
Museu da História da Inquisição;CULTURAL;RUA;CANDIDO NAVES;     ;Ouro Preto;     
Aquário da Bacia do Rio São Francisco  Fundação de Parques Municipais e Zoobotânica;REALIZAÇÕES TEC. CIENTÍFICAS;AVENIDA;OTACILIO NEGRAO DE LIMA;     ;Bandeirantes;     
Zoológico e Jardim Botânico  Fundação de Parques Municipais e Zoobotânica;REALIZAÇÕES TEC. CIENTÍFICAS;AVENIDA;OTACILIO NEGRAO DE LIMA;     ;Bandeirantes;     
Jardim Japonês  Fundação de Parques Municipais e Zoobotânica;REALIZAÇÕES TEC. CIENTÍFICAS;AVENIDA;OTACILIO NEGRAO DE LIMA;     ;Bandeirantes;     
Feira Tom Jobim;GASTRONOMIA E COMPRAS;AVENIDA;CARANDAI;     ;Santa Efigênia;     
Cidade Administrativa de Minas Gerais  CAMG;CULTURAL;RODOVIA;PAPA JOAO PAULO II;     ;Serra Verde;     
Casa Fiat de Cultura;CULTURAL;PRACA;DA LIBERDADE;     ;Savassi;     
Museu dos Brinquedos;CULTURAL;AVENIDA;AFONSO PENA;     ;Savassi;     
Biblioteca Pública Estadual de Minas Gerais;CULTURAL;PRACA;DA LIBERDADE;     ;Savassi;     
Cefart Liberdade  Fundação Clóvis Salgado;CULTURAL;RUA;SERGIPE;     ;Savassi;     
Centro Cultural Banco do Brasil  CCBB;CULTURAL;PRACA;DA LIBERDADE;     ;Savassi;     
Edifício Niemeyer;CULTURAL;PRACA;DA LIBERDADE;     ;Savassi;     
Espaço do Conhecimento UFMG;CULTURAL;PRACA;DA LIBERDADE;     ;Savassi;     
Memorial Minas Gerais Vale;CULTURAL;PRACA;DA LIBERDADE;     ;Savassi;     
MM Gerdau  Museu das Minas e do Metal;CULTURAL;PRACA;DA LIBERDADE;     ;Savassi;     
Paróquia Nossa Senhora da Boa Viagem;CULTURAL;RUA;SERGIPE;     ;Boa Viagem;     
Presépio do Pipiripau;CULTURAL;RUA;GUSTAVO DA SILVEIRA;     ;     ;     
Museu de História Natural e Jardim Botânico da UFMG;CULTURAL;RUA;GUSTAVO DA SILVEIRA;     ;Horto Florestal;     
Iate Tênis Clube;CULTURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;     ;Horto Florestal;     
Igreja São Francisco de Assis;CULTURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;     ;Lagoa da Pampulha;     
Memorial MinasJapão;CULTURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;     ;Lagoa da Pampulha;     
Feira da Afonso Pena (Feira Hippie);GASTRONOMIA E COMPRAS;     ;     ;     ;     ;Parque Municipal
Feira de Flores e Plantas Naturais;GASTRONOMIA E COMPRAS;     ;     ;     ;     ;Avenida Carandaí entre Avenida Brasil e Rua Ceará
Serra do Curral;NATURAL;     ;     ;     ;     ;Praça Estado de Israel
Viaduto Santa Tereza;CULTURAL;     ;     ;     ;     ;Entre Rua da Bahia e Sapucai
Palácio da Liberdade;CULTURAL;     ;     ;     ;     ;Praça da Liberdade
Mirante de Arte Urbana da Rua Sapucaí;CULTURAL;     ;     ;     ;     ;Rua Sapucai, s/n
Mirante do Mangabeiras;ENTRETENIMENTO E LAZER;     ;     ;     ;     ;Entre a Praça do Papa e Parque Mangabeiras
Arquivo Público da Cidade de Belo Horizonte;CULTURAL;RUA;DO ITAMBE;     ;Floresta;     
Biblioteca Infantil Juvenil De Belo Horizonte;CULTURAL;PRACA;RUI BARBOSA;     ;Centro;     
Centro Cultural Usina de Cultura;CULTURAL;RUA;DOM CABRAL;     ;Ipiranga;     
Biblioteca do Centro Cultural Usina de Cultura;CULTURAL;RUA;DOM CABRAL;     ;Ipiranga;     
Centro de Referência da Cultura Popular e Tradicional Lagoa Do Nado;CULTURAL;RUA;MINISTRO HERMENEGILDO DE BARROS;     ;Itapoã;     
Biblioteca do Centro de Referência da Cultura Popular e Tradicional Lagoa do Nado;CULTURAL;RUA;MINISTRO HERMENEGILDO DE BARROS;     ;Itapoã;     
Centro De Referência Da Memória De Venda Nova;CULTURAL;RUA;BOA VISTA;     ;São João Batista;     
Casa Do Baile/Centro de Referência de Arquitetura, Urbanismo e Design ;CULTURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;     ;Lagoa da Pampulha;     
Centro Cultural Alto Vera Cruz;CULTURAL;RUA;PADRE JULIO MARIA;     ;Alto Vera Cruz;     
